name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Little Pizza Paradise,Cascade Village Mall Across From Target,Bend,US,97701,OR,Pizza Place,Bianca Pizza,22.5,USD,
Little Pizza Paradise,Cascade Village Mall Across From Target,Bend,US,97701,OR,Pizza Place,Cheese Pizza,18.95,USD,
The Brentwood,148 S Barrington Ave,Los Angeles,US,90049,Brentwood,"American Restaurant,Bar,Bakery","Pizza, Margherita",12,USD,
The Brentwood,148 S Barrington Ave,Los Angeles,US,90049,Brentwood,"American Restaurant,Bar,Bakery","Pizza, Mushroom",13,USD,
The Brentwood,148 S Barrington Ave,Los Angeles,US,90049,Brentwood,"American Restaurant,Bar,Bakery","Pizza, Puttenesca",13,USD,"Olives, onions, capers, tomatoes"
The Brentwood,148 S Barrington Ave,Los Angeles,US,90049,Brentwood,"American Restaurant,Bar,Bakery","Pizza, Salami Piccante",15,USD,
The Brentwood,148 S Barrington Ave,Los Angeles,US,90049,Brentwood,"American Restaurant,Bar,Bakery","Pizza, White Truffle Meat Sauce",15,USD,
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,US,90027,Los Feliz,Pizza Place,Cheese Pizza,10.99,USD,Choose a pizza size.
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,US,90027,Los Feliz,Pizza Place,Hawaiian Pizza,11.99,USD,"Canadian bacon, pineapple."
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,US,90027,Los Feliz,Pizza Place,Meat Lover Pizza,16.99,USD,
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,US,90027,Los Feliz,Pizza Place,Pizza Sub,5.99,USD,
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,US,90027,Los Feliz,Pizza Place,Super Pizza Sub,5.99,USD,
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,US,90027,Los Feliz,Pizza Place,Veggie Pizza,16.99,USD,
Lucky's Pub,801 Saint Emanuel St,Houston,US,77003,TX,"Bar,Beer Garden,Sports Bar,Sports Bar, Bar, and Beer Garden",Create Your Own Pizza,9.95,USD,Choose any of your own toppings to make it your own
Roadhouse Cafe,478 South St,Hyannis,US,2601,MA,"American Restaurant, Seafood Restaurant, and French Restaurant",Cheese Pizza,8.95,USD,
Roadhouse Cafe,478 South St,Hyannis,US,2601,MA,"American Restaurant, Seafood Restaurant, and French Restaurant",Pepperoni Pizza,10.95,USD,
Brigham Young University,1 N University Hl,Provo,US,84602,UT,"University,University University",House Made Pizza,,,
Brigham Young University,1 N University Hl,Provo,US,84602,UT,"University,University University",Mexican Pizza Dip,19.95,USD,Seven layer bean dip
Brigham Young University,1 N University Hl,Provo,US,84602,UT,"University,University University",Pepperoni Pizza,,,1 each (324.00 g)
